Sl_No,Customer,Month,Type,Amount
1443,A55,6-May-06,JEWELLERY,192843.3
1444,A56,7-May-05,JEWELLERY,110809.17
1445,A57,8-May-06,JEWELLERY,116195.53
1446,A58,9-May-05,JEWELLERY,62814.73
1447,A59,10-May-06,JEWELLERY,240006.76
1448,A60,11-Jul-06,JEWELLERY,474907.71
1449,A61,12-Aug-05,"AIR TICKET",487680.73
145,A1,22-Nov-05,PETRO,183839.61
1450,A60,13-Sep-04,"BUS TICKET",316498.85
1451,A61,20-Nov-05,"BUS TICKET",379397.99
1452,A62,21-Nov-06,"BUS TICKET",186080.25
1453,A63,22-Nov-05,"BUS TICKET",377131.64
1454,A36,23-Nov-04,"BUS TICKET",346942.78
1455,A37,24-May-05,"BUS TICKET",465683.38
1456,A38,25-May-05,"BUS TICKET",388061.14
1457,A39,26-May-05,"BUS TICKET",482512.25
1458,A40,27-May-05,"BUS TICKET",338275.82
1459,A41,28-May-05,"BUS TICKET",138408.27
146,A2,23-Nov-04,PETRO,384078.73
1460,A42,29-May-05,"BUS TICKET",417365.17
1461,A43,30-May-05,CAMERA,182523.86
1462,A44,31-May-05,SHOPPING,42313.6
1463,A45,1-Jun-05,"AIR TICKET",443959.84
1464,A46,2-Jun-05,"BUS TICKET",139519.21
1465,A47,3-Jun-05,"TRAIN TICKET",293023.11
1466,A48,3-Jul-05,RENTAL,377531.79
1467,A49,3-Aug-05,"MOVIE TICKET",251942.06
1468,A50,3-Sep-05,"MOVIE TICKET",82299.94
1469,A51,3-Oct-05,"MOVIE TICKET",21787.94
147,A3,24-May-05,PETRO,183707.24
1470,A52,3-Nov-05,"MOVIE TICKET",258132.93
1471,A53,3-Dec-05,"MOVIE TICKET",85235.64
1472,A54,3-Jan-06,"MOVIE TICKET",292020.54
1473,A55,3-Feb-06,"MOVIE TICKET",15199.55
1474,A56,3-Mar-06,"MOVIE TICKET",327358.8
1475,A57,3-Apr-06,"MOVIE TICKET",92101.32
1476,A58,3-May-06,AUTO,163775.96
1477,A59,3-Jun-06,SHOPPING,43493.07
1478,A60,3-Jul-06,"AIR TICKET",273977.69
1479,A61,3-Aug-06,"BUS TICKET",294180.68
148,A4,25-May-05,PETRO,31107.95
1480,A60,3-Sep-06,"TRAIN TICKET",209649.02
1481,A61,3-Oct-06,RENTAL,8682.98
1482,A62,3-Nov-06,"MOVIE TICKET",481412.75
1483,A56,3-Dec-06,JEWELLERY,223628.27
1484,A57,12-Jan-04,PETRO,179402.44
1485,A58,3-Jan-04,CLOTHES,383742.74
1486,A59,15-Jan-04,FOOD,181115.2
1487,A60,25-Jan-04,CAMERA,240648.48
1488,A61,17-Jan-05,CAMERA,393623.57
1489,A60,23-Feb-05,CAMERA,384933.82
149,A5,26-May-05,PETRO,384309.63
1490,A61,1-Feb-05,CAMERA,90754.27
1491,A62,5-Feb-04,SHOPPING,333488.91
1492,A63,28-Feb-05,"AIR TICKET",244678.86
1493,A64,16-Feb-05,"BUS TICKET",468684.01
1494,A65,23-Feb-05,"BUS TICKET",98178.42
1495,A66,3-Feb-05,"BUS TICKET",162670.43
1496,A67,4-Feb-06,"BUS TICKET",356872.73
1497,A68,25-Mar-06,"BUS TICKET",204971.1
1498,A69,31-Mar-06,"BUS TICKET",50449.44
1499,A70,23-Mar-06,"BUS TICKET",80593.94
15,A15,31-Mar-06,"MOVIE TICKET",399874.98
150,A6,27-May-05,"MOVIE TICKET",89467.92
1500,A71,24-Mar-06,"BUS TICKET",194447.62
151,A7,28-May-05,CAMERA,22964.17
152,A8,29-May-05,CAMERA,335298.81
153,A9,30-May-05,CAMERA,306526.12
154,A10,31-May-05,SHOPPING,118875.68
155,A11,1-Jun-05,"AIR TICKET",272982.02
156,A12,2-Jun-05,"BUS TICKET",189763.11
157,A13,3-Jun-05,"TRAIN TICKET",240226.29
158,A14,3-Jul-05,RENTAL,294099.59
159,A1,3-Aug-05,"MOVIE TICKET",344372.1
16,A16,23-Mar-06,JEWELLERY,2845.76
160,A2,3-Sep-05,JEWELLERY,117089.16
161,A3,3-Oct-05,PETRO,445534.57
162,A4,3-Nov-05,CLOTHES,23040.07
163,A5,3-Dec-05,FOOD,230668.23
164,A6,3-Jan-06,CAMERA,235787.09
165,A7,3-Feb-06,SANDALS,202045.12
166,A8,3-Mar-06,CAR,248077.43
167,A9,3-Apr-06,BIKE,150348.46
168,A10,3-May-06,AUTO,10615.48
169,A11,3-Jun-06,SHOPPING,294577.34
17,A17,19-Mar-04,PETRO,457931.43
170,A12,3-Jul-06,"AIR TICKET",77725.32
171,A13,3-Aug-06,"BUS TICKET",25860.69
172,A14,3-Sep-06,"TRAIN TICKET",108506.2
173,A1,3-Oct-06,RENTAL,244534.68
174,A2,3-Nov-06,"MOVIE TICKET",75728.35
175,A3,3-Dec-06,JEWELLERY,491710.5
176,A4,12-Jan-04,PETRO,35293.85
177,A5,3-Jan-04,CLOTHES,143057.63
178,A6,15-Jan-04,FOOD,102914.5
179,A7,25-Jan-04,FOOD,131957.64
18,A18,5-Mar-06,CLOTHES,19272.94
180,A8,17-Jan-05,FOOD,27596.71
181,A9,23-Feb-05,FOOD,15000.55
182,A10,1-Feb-05,FOOD,36477.84
183,A11,5-Feb-04,FOOD,66306.06
184,A12,28-Feb-05,FOOD,24218.26
185,A13,16-Feb-05,FOOD,293846.44
186,A14,23-Feb-05,FOOD,111896.48
187,A1,3-Feb-05,FOOD,155611.91
188,A2,4-Feb-06,FOOD,175345.84
189,A3,25-Mar-06,FOOD,418516.31
19,A19,4-Apr-05,FOOD,441442.26
190,A4,31-Mar-06,FOOD,466690.74
191,A5,23-Mar-06,FOOD,244557.11
192,A6,24-Mar-06,FOOD,149094.95
193,A7,25-Mar-06,FOOD,30727.68
194,A8,26-Mar-06,FOOD,270994.47
195,A9,27-Mar-06,FOOD,261113.44
196,A10,28-Mar-06,FOOD,74554.87
197,A11,29-Mar-06,FOOD,45366.66
198,A12,30-Mar-06,SHOPPING,350004.39
199,A13,31-Mar-06,"AIR TICKET",460656.56
2,A1,3-Jan-04,PETRO,410556.13
20,A20,30-Apr-06,JEWELLERY,356733.48
200,A14,1-Apr-06,"BUS TICKET",341157.43
201,A1,2-Apr-06,"TRAIN TICKET",176372.82
202,A2,3-Apr-06,RENTAL,367364.53
203,A3,4-Apr-06,"MOVIE TICKET",16375.23
204,A4,12-Jan-04,JEWELLERY,130804.05
205,A5,3-Jan-04,PETRO,399316.12
206,A6,15-Jan-04,CLOTHES,488508.91
207,A7,25-Jan-04,FOOD,365615.44
208,A8,12-Jan-04,CAMERA,219438.79
209,A9,3-Jan-04,CAMERA,77322.7
21,A21,25-Apr-04,PETRO,190011.63
210,A10,15-Jan-04,CAMERA,31496.69
211,A11,25-Jan-04,CAMERA,59091.19
212,A12,12-Jan-04,SHOPPING,460555.54
213,A13,3-Jan-04,"AIR TICKET",120263.91
214,A14,15-Jan-04,"BUS TICKET",425291.52
215,A1,25-Jan-04,"TRAIN TICKET",394970.96
216,A2,12-Jan-04,RENTAL,366519.94
217,A3,3-Jan-04,"MOVIE TICKET",368574.41
218,A4,15-Jan-04,JEWELLERY,43757.56
219,A5,12-Jan-04,PETRO,122573.12
22,A22,19-Apr-06,CLOTHES,423672.5
220,A6,3-Jan-04,CLOTHES,18162.3
221,A7,15-Jan-04,CLOTHES,455534.79
222,A8,25-Jan-04,CLOTHES,197893.32
223,A9,17-Jan-05,CLOTHES,14500.38
224,A10,23-Feb-05,CLOTHES,48568.07
225,A11,1-Feb-05,CLOTHES,313864.03
226,A12,5-Feb-04,CLOTHES,214891.01
227,A13,28-Feb-05,CLOTHES,283832.24
228,A14,16-Feb-05,CLOTHES,133659.56
229,A1,23-Feb-05,CLOTHES,476702.09
23,A23,6-Apr-04,FOOD,390850.96
230,A2,3-Feb-05,CLOTHES,197585.76
231,A3,4-Feb-06,CLOTHES,384693.67
232,A4,25-Mar-06,CLOTHES,181142.29
233,A5,31-Mar-06,CLOTHES,42224.84
234,A6,23-Mar-06,CLOTHES,429780.86
235,A7,19-Mar-04,CLOTHES,149173.49
236,A8,5-Mar-06,CLOTHES,159812.18
237,A9,4-Apr-05,CAMERA,46333.89
238,A10,30-Apr-06,CAMERA,270721.68
239,A11,25-Apr-04,CAMERA,483603.21
24,A24,27-Apr-05,CAMERA,328845.08
240,A12,19-Apr-06,CAMERA,104548.34
241,A13,6-Apr-04,SHOPPING,440316.95
242,A14,27-Apr-05,"AIR TICKET",205929.95
243,A1,5-May-04,"BUS TICKET",361141.31
244,A2,6-May-06,"TRAIN TICKET",369689.78
245,A3,7-May-05,RENTAL,285184.71
246,A4,8-May-06,"MOVIE TICKET",497348.05
247,A5,9-May-05,JEWELLERY,161445.71
248,A6,10-May-06,PETRO,319011.87
249,A7,11-Jul-06,PETRO,212275.8
25,A25,5-May-04,SANDALS,446040.47
250,A8,12-Aug-05,PETRO,37708.16
251,A9,13-Sep-04,PETRO,489715.08
252,A10,20-Nov-05,PETRO,459690.69
253,A11,21-Nov-06,PETRO,472854.21
254,A12,22-Nov-05,PETRO,383087.29
255,A13,23-Nov-04,PETRO,125216.76
256,A14,24-May-05,PETRO,84390.34
257,A5,25-May-05,PETRO,283338.48
258,A6,26-May-05,PETRO,253033.48
259,A7,27-May-05,PETRO,108439.47
26,A26,6-May-06,CAR,6588.51
260,A8,28-May-05,PETRO,274522.32
261,A9,29-May-05,PETRO,416832.87
262,A10,30-May-05,PETRO,387940.9
263,A11,31-May-05,PETRO,179462.61
264,A12,1-Jun-05,CLOTHES,81201.58
265,A13,2-Jun-05,FOOD,249438.28
266,A14,3-Jun-05,CAMERA,370497.2
267,A15,3-Jul-05,CAMERA,315252.93
268,A16,3-Aug-05,CAMERA,148922.42
269,A17,3-Sep-05,CAMERA,220824.11
27,A27,7-May-05,BIKE,275144.42
270,A18,3-Oct-05,SHOPPING,115488.88
271,A19,3-Nov-05,"AIR TICKET",167577.01
272,A20,3-Dec-05,"AIR TICKET",289182.73
273,A21,3-Jan-06,"AIR TICKET",477615.93
274,A22,3-Feb-06,"AIR TICKET",261854.22
275,A5,3-Mar-06,"AIR TICKET",10763.44
276,A6,3-Apr-06,"AIR TICKET",357943.87
277,A7,3-May-06,"AIR TICKET",305050.62
278,A8,3-Jun-06,"AIR TICKET",173354.23
279,A9,3-Jul-06,"AIR TICKET",349086.47
28,A28,8-May-06,AUTO,66432.37
280,A10,3-Aug-06,"AIR TICKET",454827.23
281,A11,3-Sep-06,"AIR TICKET",67560.48
282,A12,3-Oct-06,CAR,446841.82
283,A13,3-Nov-06,BIKE,28139.06
284,A14,3-Dec-06,AUTO,289884.23
285,A15,12-Jan-04,SHOPPING,162080.83
286,A16,3-Jan-04,"AIR TICKET",405719.84
287,A17,15-Jan-04,"BUS TICKET",140735.03
288,A18,25-Jan-04,"TRAIN TICKET",82720.75
289,A19,17-Jan-05,RENTAL,317065.31
29,A29,9-May-05,SHOPPING,18877.48
290,A20,23-Feb-05,"MOVIE TICKET",460130.36
291,A21,1-Feb-05,JEWELLERY,203505.93
292,A22,5-Feb-04,PETRO,32089.03
293,A5,28-Feb-05,CLOTHES,359966.31
294,A6,16-Feb-05,FOOD,433956.78
295,A7,23-Feb-05,CAMERA,314704.54
296,A8,3-Feb-05,CAMERA,259015.91
297,A9,4-Feb-06,CAMERA,190192.38
298,A10,25-Mar-06,CAMERA,281472.15
299,A11,31-Mar-06,CAMERA,312063.64
3,A1,15-Jan-04,CLOTHES,23740.46
30,A30,10-May-06,"AIR TICKET",24399.98
300,A12,23-Mar-06,CAMERA,25824.98
301,A13,24-Mar-06,CAMERA,77748.47
302,A14,25-Mar-06,CAMERA,30849.09
303,A15,26-Mar-06,CAMERA,50155.08
304,A16,27-Mar-06,CAMERA,391477.9
305,A17,28-Mar-06,CAMERA,249002.72
306,A18,29-Mar-06,CAMERA,334432.74
307,A19,30-Mar-06,CLOTHES,445841.52
308,A20,31-Mar-06,FOOD,406960.62
309,A21,1-Apr-06,CAMERA,265164.32
31,A31,11-Jul-06,"BUS TICKET",272112.42
310,A22,2-Apr-06,SANDALS,271866.51
311,A5,3-Apr-06,CAR,165218.48
312,A6,4-Apr-06,BIKE,498734.85
313,A7,12-Jan-04,AUTO,498358.28
314,A8,3-Jan-04,SHOPPING,185686.01
315,A9,15-Jan-04,"AIR TICKET",390506.29
316,A10,25-Jan-04,"BUS TICKET",211880.15
317,A11,12-Jan-04,"TRAIN TICKET",192485.69
318,A12,3-Jan-04,RENTAL,497770.15
319,A13,15-Jan-04,"MOVIE TICKET",358215.28
32,A32,12-Aug-05,"TRAIN TICKET",126461.49
320,A14,25-Jan-04,JEWELLERY,102546.39
321,A15,12-Jan-04,PETRO,300895.4
322,A16,3-Jan-04,CLOTHES,105685.17
323,A17,15-Jan-04,FOOD,246993.23
324,A18,25-Jan-04,FOOD,466922.14
325,A19,12-Jan-04,FOOD,410478.96
326,A20,3-Jan-04,FOOD,294948.41
327,A21,15-Jan-04,FOOD,100501.87
328,A22,12-Jan-04,FOOD,370895.27
329,A5,3-Jan-04,FOOD,326052.18
33,A33,13-Sep-04,RENTAL,226271.97
330,A6,15-Jan-04,"BUS TICKET",352326.62
331,A7,25-Jan-04,"TRAIN TICKET",461282.47
332,A8,17-Jan-05,RENTAL,405002.42
333,A9,23-Feb-05,"MOVIE TICKET",83927.36
334,A10,1-Feb-05,JEWELLERY,498388.88
335,A11,5-Feb-04,PETRO,263577.25
336,A12,28-Feb-05,CLOTHES,331227.52
337,A13,16-Feb-05,FOOD,106381.38
338,A14,23-Feb-05,CAMERA,442625.24
339,A15,3-Feb-05,SANDALS,93032.72
34,A34,20-Nov-05,"MOVIE TICKET",109129.96
340,A16,4-Feb-06,CAR,435234.62
341,A17,25-Mar-06,BIKE,110076.88
342,A18,31-Mar-06,AUTO,478891.22
343,A19,23-Mar-06,SHOPPING,243960.25
344,A20,19-Mar-04,"AIR TICKET",274363.73
345,A21,5-Mar-06,"BUS TICKET",210648.82
346,A22,4-Apr-05,"TRAIN TICKET",8987.04
347,A5,30-Apr-06,RENTAL,42483.81
348,A6,25-Apr-04,"MOVIE TICKET",100962.14
349,A7,19-Apr-06,JEWELLERY,165956.43
35,A35,21-Nov-06,CAMERA,156630.14
350,A8,6-Apr-04,PETRO,35196.11
351,A9,27-Apr-05,CLOTHES,79149.37
352,A10,5-May-04,FOOD,239397.51
353,A11,6-May-06,CAMERA,468501.45
354,A12,7-May-05,CAMERA,442439.36
355,A13,8-May-06,CAMERA,275775.47
356,A14,9-May-05,CAMERA,177293.8
357,A15,10-May-06,SHOPPING,496915.29
358,A16,11-Jul-06,"AIR TICKET",100425.24
359,A17,12-Aug-05,"BUS TICKET",206451.17
36,A36,22-Nov-05,SANDALS,200228.1
360,A18,13-Sep-04,"TRAIN TICKET",457364.09
361,A19,20-Nov-05,RENTAL,266948.51
362,A20,21-Nov-06,"MOVIE TICKET",126928.82
363,A21,22-Nov-05,JEWELLERY,401959.6
364,A22,23-Nov-04,PETRO,417496.52
365,A12,24-May-05,CLOTHES,319918.7
366,A13,25-May-05,FOOD,382311.03
367,A14,26-May-05,FOOD,471424.21
368,A15,27-May-05,FOOD,30238.7
369,A16,28-May-05,FOOD,423809.31
37,A37,23-Nov-04,CAR,139814.59
370,A17,29-May-05,FOOD,242927.78
371,A18,30-May-05,FOOD,234158.9
372,A19,31-May-05,FOOD,117920.96
373,A20,1-Jun-05,FOOD,405378.23
374,A21,2-Jun-05,FOOD,247287.46
375,A22,3-Jun-05,FOOD,273207.18
376,A23,3-Jul-05,FOOD,332157.16
377,A24,3-Aug-05,FOOD,75079.67
378,A25,3-Sep-05,JEWELLERY,126931.94
379,A26,3-Oct-05,PETRO,221293.03
38,A38,24-May-05,BIKE,376872.51
380,A27,3-Nov-05,CLOTHES,489749.85
381,A28,3-Dec-05,FOOD,237335.43
382,A29,3-Jan-06,CAMERA,368454.1
383,A30,3-Feb-06,BIKE,398239.13
384,A12,3-Mar-06,AUTO,371251.15
385,A13,3-Apr-06,SHOPPING,218692.79
386,A14,3-May-06,"AIR TICKET",239984.25
387,A15,3-Jun-06,"BUS TICKET",88817.36
388,A16,3-Jul-06,"TRAIN TICKET",348188.74
389,A17,3-Aug-06,RENTAL,214618.64
39,A39,25-May-05,AUTO,117691.42
390,A18,3-Sep-06,"MOVIE TICKET",246029.64
391,A19,3-Oct-06,JEWELLERY,200588.13
392,A20,3-Nov-06,PETRO,344151.68
393,A21,3-Dec-06,PETRO,452425.82
394,A22,12-Jan-04,PETRO,106897.2
395,A23,3-Jan-04,PETRO,466587.47
396,A24,15-Jan-04,PETRO,224361.64
397,A25,25-Jan-04,PETRO,243221.98
398,A26,17-Jan-05,PETRO,282318.78
399,A27,23-Feb-05,PETRO,492311.93
4,A1,25-Jan-04,FOOD,484342.47
40,A40,26-May-05,SHOPPING,227791.62
400,A28,1-Feb-05,PETRO,273388.83
401,A29,5-Feb-04,PETRO,229011.5
402,A30,28-Feb-05,PETRO,15151.26
403,A12,16-Feb-05,RENTAL,156616.01
404,A13,23-Feb-05,"MOVIE TICKET",418134.52
405,A14,3-Feb-05,JEWELLERY,84974.29
406,A15,4-Feb-06,PETRO,439946.6
407,A16,25-Mar-06,CLOTHES,119406.07
408,A17,31-Mar-06,FOOD,85707.18
409,A18,23-Mar-06,CAMERA,393056.28
41,A41,27-May-05,"AIR TICKET",359764.34
410,A19,24-Mar-06,SANDALS,210962.36
411,A20,25-Mar-06,CAR,250577.45
412,A21,26-Mar-06,BIKE,397003.51
413,A22,27-Mar-06,AUTO,66833.86
414,A23,28-Mar-06,SHOPPING,131176.47
415,A24,29-Mar-06,"AIR TICKET",331656.4
416,A25,30-Mar-06,"BUS TICKET",198472.97
417,A26,31-Mar-06,"TRAIN TICKET",342428.74
418,A27,1-Apr-06,RENTAL,8752.13
419,A28,2-Apr-06,"MOVIE TICKET",281679.6
42,A42,28-May-05,"BUS TICKET",217211.47
420,A29,3-Apr-06,JEWELLERY,311908.5
421,A30,4-Apr-06,PETRO,199351.04
422,A12,12-Jan-04,CLOTHES,468597.16
423,A13,3-Jan-04,FOOD,481870.34
424,A14,15-Jan-04,CAMERA,366089.04
425,A15,25-Jan-04,CAMERA,3750.13
426,A16,12-Jan-04,CAMERA,113443.41
427,A17,3-Jan-04,CAMERA,11938.81
428,A18,15-Jan-04,SHOPPING,107056.49
429,A19,25-Jan-04,"AIR TICKET",68610.51
43,A43,29-May-05,"TRAIN TICKET",162417.22
430,A20,12-Jan-04,"BUS TICKET",433801.8
431,A21,3-Jan-04,"TRAIN TICKET",301196.52
432,A22,15-Jan-04,RENTAL,265755.35
433,A23,25-Jan-04,"MOVIE TICKET",87297.77
434,A24,12-Jan-04,JEWELLERY,454728.13
435,A25,3-Jan-04,PETRO,350791.94
436,A26,15-Jan-04,CLOTHES,362560.44
437,A27,12-Jan-04,FOOD,197421.53
438,A28,3-Jan-04,CAMERA,244467.34
439,A29,15-Jan-04,SANDALS,228925.08
44,A44,30-May-05,RENTAL,188171.64
440,A30,25-Jan-04,CAR,185370.01
441,A12,17-Jan-05,BIKE,460150.85
442,A13,23-Feb-05,AUTO,141539.79
443,A14,1-Feb-05,SHOPPING,463680.6
444,A15,5-Feb-04,"AIR TICKET",68519.2
445,A16,28-Feb-05,"BUS TICKET",240855.67
446,A17,16-Feb-05,"TRAIN TICKET",94531.69
447,A18,23-Feb-05,"TRAIN TICKET",374791.98
448,A19,3-Feb-05,"TRAIN TICKET",425536.83
449,A20,4-Feb-06,"TRAIN TICKET",221480.81
45,A45,31-May-05,"MOVIE TICKET",365725.04
450,A21,25-Mar-06,"TRAIN TICKET",473984.25
451,A22,31-Mar-06,"TRAIN TICKET",305269.62
452,A23,23-Mar-06,"TRAIN TICKET",80061.3
453,A24,19-Mar-04,"TRAIN TICKET",147422.97
454,A25,5-Mar-06,"TRAIN TICKET",427077.54
455,A26,4-Apr-05,"TRAIN TICKET",470973.98
456,A27,30-Apr-06,"TRAIN TICKET",369725.38
457,A28,25-Apr-04,"TRAIN TICKET",127611.72
458,A29,19-Apr-06,"TRAIN TICKET",46537.12
459,A30,6-Apr-04,"TRAIN TICKET",128905.28
46,A46,1-Jun-05,JEWELLERY,319538.35
460,A12,27-Apr-05,"TRAIN TICKET",380147.4
461,A13,5-May-04,"TRAIN TICKET",255449.53
462,A14,6-May-06,"TRAIN TICKET",156836.79
463,A15,7-May-05,"TRAIN TICKET",467341.95
464,A16,8-May-06,"TRAIN TICKET",454862.62
465,A17,9-May-05,"TRAIN TICKET",257904.07
466,A18,10-May-06,"TRAIN TICKET",221258.92
467,A19,11-Jul-06,"TRAIN TICKET",150833.96
468,A20,12-Aug-05,"TRAIN TICKET",328899.39
469,A21,13-Sep-04,"TRAIN TICKET",285472.35
47,A47,2-Jun-05,PETRO,193736.65
470,A22,20-Nov-05,"TRAIN TICKET",349814.2
471,A23,21-Nov-06,"TRAIN TICKET",26965.4
472,A24,22-Nov-05,"TRAIN TICKET",443897.57
473,A25,23-Nov-04,"AIR TICKET",355617.91
474,A26,24-May-05,"AIR TICKET",134345.91
475,A27,25-May-05,"AIR TICKET",177658.85
476,A28,26-May-05,"AIR TICKET",264368.37
477,A29,27-May-05,"AIR TICKET",154259.1
478,A30,28-May-05,"AIR TICKET",128715.82
479,A12,29-May-05,"AIR TICKET",121365.0
48,A48,3-Jun-05,CLOTHES,433240.56
480,A13,30-May-05,"AIR TICKET",299827.43
481,A14,31-May-05,"AIR TICKET",56048.99
482,A15,1-Jun-05,"AIR TICKET",243748.11
483,A16,2-Jun-05,CAMERA,240074.15
484,A17,3-Jun-05,CAMERA,242080.71
485,A18,3-Jul-05,CAMERA,144899.97
486,A19,3-Aug-05,SHOPPING,354199.11
487,A20,3-Sep-05,"AIR TICKET",244668.92
488,A21,3-Oct-05,"BUS TICKET",146556.94
489,A22,3-Nov-05,"TRAIN TICKET",439760.73
49,A49,3-Jul-05,FOOD,93689.16
490,A23,3-Dec-05,RENTAL,35298.96
491,A24,3-Jan-06,"MOVIE TICKET",309591.35
492,A25,3-Feb-06,BIKE,402518.16
493,A26,3-Mar-06,AUTO,303420.33
494,A27,3-Apr-06,SHOPPING,352918.66
495,A28,3-May-06,"AIR TICKET",173633.94
496,A29,3-Jun-06,"BUS TICKET",443364.31
497,A30,3-Jul-06,"TRAIN TICKET",486794.37
498,A12,3-Aug-06,RENTAL,319708.92
499,A13,3-Sep-06,"MOVIE TICKET",419809.4
5,A1,17-Jan-05,CAMERA,369694.07
50,A50,3-Aug-05,CAMERA,315690.47
500,A14,3-Oct-06,JEWELLERY,414285.94
501,A15,3-Nov-06,PETRO,86631.41
502,A16,3-Dec-06,CLOTHES,267116.94
503,A17,12-Jan-04,FOOD,298389.0
504,A18,3-Jan-04,CAMERA,213041.24
505,A19,15-Jan-04,CAMERA,184771.88
506,A20,25-Jan-04,CAMERA,84269.28
507,A21,17-Jan-05,CAMERA,322221.08
508,A22,23-Feb-05,SHOPPING,108883.79
509,A23,1-Feb-05,"AIR TICKET",375898.65
51,A51,3-Sep-05,SANDALS,249496.99
510,A24,5-Feb-04,"BUS TICKET",385046.06
511,A25,28-Feb-05,"TRAIN TICKET",205987.83
512,A26,16-Feb-05,"TRAIN TICKET",415678.79
513,A27,23-Feb-05,"TRAIN TICKET",352374.29
514,A28,3-Feb-05,"TRAIN TICKET",271961.53
515,A29,4-Feb-06,"TRAIN TICKET",162812.94
516,A30,25-Mar-06,"TRAIN TICKET",326629.15
517,A12,31-Mar-06,"TRAIN TICKET",94325.47
518,A13,23-Mar-06,"TRAIN TICKET",202141.07
519,A14,24-Mar-06,"TRAIN TICKET",398349.58
52,A52,3-Oct-05,CAR,50877.1
520,A15,25-Mar-06,"TRAIN TICKET",475849.21
521,A16,26-Mar-06,"TRAIN TICKET",446844.83
522,A17,27-Mar-06,AUTO,350241.67
523,A18,28-Mar-06,SHOPPING,166127.87
524,A19,29-Mar-06,"AIR TICKET",304332.65
525,A20,30-Mar-06,"BUS TICKET",26142.18
526,A21,31-Mar-06,"TRAIN TICKET",321996.06
527,A22,1-Apr-06,RENTAL,258226.14
528,A23,2-Apr-06,"MOVIE TICKET",180035.15
529,A24,3-Apr-06,JEWELLERY,348056.92
53,A53,3-Nov-05,BIKE,395078.96
530,A25,4-Apr-06,PETRO,40536.92
531,A26,12-Jan-04,CLOTHES,375306.52
532,A27,3-Jan-04,FOOD,469890.94
533,A28,15-Jan-04,CAMERA,386576.93
534,A29,25-Jan-04,CAMERA,218170.12
535,A30,12-Jan-04,CAMERA,217223.51
536,A12,3-Jan-04,CAMERA,42797.0
537,A13,15-Jan-04,SHOPPING,254686.6
538,A14,25-Jan-04,"AIR TICKET",474714.13
539,A15,12-Jan-04,"BUS TICKET",303303.37
54,A54,3-Dec-05,AUTO,155708.16
540,A16,3-Jan-04,"TRAIN TICKET",78523.66
541,A17,15-Jan-04,RENTAL,41401.91
542,A18,25-Jan-04,"MOVIE TICKET",383683.27
543,A19,12-Jan-04,JEWELLERY,260909.8
544,A20,3-Jan-04,PETRO,85002.75
545,A21,15-Jan-04,PETRO,285085.87
546,A22,12-Jan-04,PETRO,300820.31
547,A23,3-Jan-04,PETRO,305868.49
548,A24,15-Jan-04,PETRO,111188.2
